Node	X Location (m)	Y Location (m)	Z Location (m)	
1	0.10992	0.17767	0.	
2	0.10629	0.17829	0.	
3	0.11112	0.17673	3.71e-003	
4	9.9798e-002	0.17941	0.	
5	9.8319e-002	0.17904	3.2101e-003	
6	0.11194	0.17608	6.2792e-003	
7	0.10513	0.17756	4.7447e-003	
8	9.5429e-002	0.17998	0.	
9	8.5142e-002	0.18072	0.	
10	9.1731e-002	0.17988	1.6051e-003	
11	7.9611e-002	0.18118	0.	
12	8.3714e-002	0.17823	1.4432e-002	
13	8.1662e-002	0.1797	7.2162e-003	
14	9.1016e-002	0.17864	8.8213e-003	
15	7.4598e-002	0.17835	1.084e-002	
16	7.0712e-002	0.18144	0.	
17	7.8657e-002	0.18111	0.	
18	6.8611e-002	0.18117	0.	
19	5.9471e-002	0.18214	0.	
20	6.5769e-002	0.1793	4.496e-003	
21	5.9353e-002	0.18011	3.3791e-003	
22	5.7146e-002	0.18219	0.	
23	5.2052e-002	0.18273	0.	
24	5.074e-002	0.18144	2.6047e-003	
25	3.4835e-002	0.16586	0.	
26	1.5501e-002	0.14636	0.	
27	2.8391e-002	0.15936	0.	
28	2.1946e-002	0.15286	0.	
29	1.5501e-002	0.14636	3.8345e-002	
30	1.5501e-002	0.14636	9.5861e-003	
31	1.5501e-002	0.14636	1.9172e-002	
32	1.5501e-002	0.14636	3.1175e-002	
33	1.7057e-002	0.14793	3.7358e-002	
34	1.8365e-002	0.14925	3.6515e-002	
35	2.054e-002	0.15144	3.4991e-002	
36	2.16e-002	0.15251	3.4168e-002	
37	2.3638e-002	0.15457	3.2633e-002	
38	2.5915e-002	0.15686	3.0878e-002	
39	2.6999e-002	0.15796	3.0052e-002	
40	2.797e-002	0.15894	2.9267e-002	
41	2.8904e-002	0.15988	2.8478e-002	
42	3.0972e-002	0.16196	2.6668e-002	
43	3.1459e-002	0.16246	2.6236e-002	
44	3.1949e-002	0.16295	2.5794e-002	
45	3.3437e-002	0.16445	2.4345e-002	
46	3.4835e-002	0.16586	2.3052e-002	
47	3.4835e-002	0.16586	1.1526e-002	
48	0.12026	0.16955	0.	
49	0.11509	0.17361	0.	
50	0.11267	0.17551	9.2279e-003	
51	0.11615	0.17278	1.6538e-002	
52	0.12026	0.16955	2.2135e-002	
53	0.12026	0.16955	1.1068e-002	
54	0.14166	0.15224	0.	
55	0.13452	0.15801	0.	
56	0.12739	0.16378	0.	
57	0.12375	0.16673	2.6101e-002	
58	0.13134	0.16058	2.9814e-002	
59	0.13216	0.15992	3.0192e-002	
60	0.13865	0.15467	3.0368e-002	
61	0.14166	0.15224	3.0747e-002	
62	0.14166	0.15224	1.0249e-002	
63	0.14166	0.15224	2.0498e-002	
64	1.42e-002	0.10809	0.	
65	1.5176e-002	0.13679	0.	
66	1.485e-002	0.12722	0.	
67	1.4525e-002	0.11765	0.	
68	1.42e-002	0.10809	5.0331e-002	
69	1.42e-002	0.10809	1.0066e-002	
70	1.42e-002	0.10809	2.0133e-002	
71	1.42e-002	0.10809	3.0199e-002	
72	1.42e-002	0.10809	4.0265e-002	
73	1.4302e-002	0.11109	4.9859e-002	
74	1.4423e-002	0.11465	4.9307e-002	
75	1.4487e-002	0.11653	4.8966e-002	
76	1.4561e-002	0.11872	4.8489e-002	
77	1.473e-002	0.12367	4.7304e-002	
78	1.4792e-002	0.12551	4.683e-002	
79	1.4849e-002	0.12718	4.6352e-002	
80	1.4939e-002	0.12982	4.5523e-002	
81	1.5036e-002	0.13269	4.4515e-002	
82	1.521e-002	0.1378	4.2554e-002	
83	1.5223e-002	0.13818	4.2404e-002	
84	1.5418e-002	0.14392	3.9669e-002	
85	1.5423e-002	0.14406	3.9602e-002	
86	4.3444e-002	0.17429	0.	
87	3.6304e-002	0.1673	2.157e-002	
88	3.7808e-002	0.16877	2.0047e-002	
89	3.9243e-002	0.17018	1.8443e-002	
90	4.1915e-002	0.1728	1.5421e-002	
91	4.3993e-002	0.17483	1.2775e-002	
92	4.4505e-002	0.17533	1.2156e-002	
93	4.4754e-002	0.17558	1.1882e-002	
94	4.5015e-002	0.17583	1.1461e-002	
95	4.6877e-002	0.17766	8.8462e-003	
96	4.743e-002	0.1782	7.9166e-003	
97	4.9624e-002	0.18035	4.3621e-003	
98	5.0211e-002	0.18092	3.4728e-003	
99	0.16103	0.129	0.	
100	0.15457	0.13674	0.	
101	0.14811	0.14449	0.	
102	0.14576	0.14731	3.0683e-002	
103	0.15067	0.14142	3.1896e-002	
104	0.15304	0.13859	3.1355e-002	
105	0.15757	0.13314	3.1045e-002	
106	0.16103	0.129	3.085e-002	
107	0.16103	0.129	1.0283e-002	
108	0.16103	0.129	2.0566e-002	
109	0.17318	7.7378e-002	0.	
110	0.17075	8.7702e-002	0.	
111	0.16832	9.8026e-002	0.	
112	0.16589	0.10835	0.	
113	0.16346	0.11867	0.	
114	0.16182	0.12565	3.2258e-002	
115	0.1634	0.11891	3.3744e-002	
116	0.16607	0.10758	3.5723e-002	
117	0.16676	0.10465	3.6477e-002	
118	0.1676	0.10107	3.7079e-002	
119	0.16987	9.1423e-002	3.83e-002	
120	0.17073	8.7798e-002	3.833e-002	
121	0.17318	7.7378e-002	3.928e-002	
122	0.17318	7.7378e-002	9.8199e-003	
123	0.17318	7.7378e-002	1.964e-002	
124	0.17318	7.7378e-002	2.946e-002	
125	0.14887	1.42e-002	0.	
126	0.15293	2.473e-002	0.	
127	0.15698	3.5259e-002	0.	
128	0.16103	4.5789e-002	0.	
129	0.16508	5.6319e-002	0.	
130	0.16913	6.6848e-002	0.	
131	0.16823	6.45e-002	4.2576e-002	
132	0.1707	7.0939e-002	4.0928e-002	
133	0.16666	6.0433e-002	4.3256e-002	
134	0.16484	5.5711e-002	4.3664e-002	
135	0.16222	4.8879e-002	4.4544e-002	
136	0.1609	4.5469e-002	4.481e-002	
137	0.15814	3.8285e-002	4.4975e-002	
138	0.15579	3.2182e-002	4.5039e-002	
139	0.15486	2.9753e-002	4.496e-002	
140	0.15347	2.6135e-002	4.4881e-002	
141	0.15013	1.7472e-002	4.461e-002	
142	0.14887	1.42e-002	4.4554e-002	
143	0.14887	1.42e-002	1.1138e-002	
144	0.14887	1.42e-002	2.2277e-002	
145	0.14887	1.42e-002	3.3415e-002	
146	7.6536e-002	3.0405e-002	0.	
147	8.687e-002	2.809e-002	0.	
148	9.7204e-002	2.5775e-002	0.	
149	0.10754	2.346e-002	0.	
150	0.11787	2.1145e-002	0.	
151	0.12821	1.883e-002	0.	
152	0.13854	1.6515e-002	0.	
153	0.14485	1.5102e-002	4.5574e-002	
154	0.14327	1.5456e-002	4.5948e-002	
155	0.13314	1.7724e-002	4.8126e-002	
156	0.12639	1.9237e-002	4.9132e-002	
157	0.1235	1.9885e-002	4.9515e-002	
158	0.1163	2.1497e-002	4.9938e-002	
159	0.10626	2.3746e-002	5.0304e-002	
160	0.10178	2.475e-002	5.0344e-002	
161	9.517e-002	2.6231e-002	5.0169e-002	
162	9.3888e-002	2.6518e-002	5.0199e-002	
163	9.3361e-002	2.6636e-002	5.0215e-002	
164	9.2136e-002	2.691e-002	5.0179e-002	
165	8.689e-002	2.8086e-002	5.0337e-002	
166	8.4013e-002	2.873e-002	5.0219e-002	
