Node	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
1	0.10992	0.17767	0.	24.4
2	0.10629	0.17829	0.	24.4
3	0.11112	0.17673	3.71e-003	24.468
4	9.9798e-002	0.17941	0.	24.4
5	9.8319e-002	0.17904	3.2101e-003	24.452
6	0.11194	0.17608	6.2792e-003	24.514
7	0.10513	0.17756	4.7447e-003	24.481
8	9.5429e-002	0.17998	0.	24.4
9	8.5142e-002	0.18072	0.	24.4
10	9.1731e-002	0.17988	1.6051e-003	24.425
11	7.9611e-002	0.18118	0.	24.4
12	8.3714e-002	0.17823	1.4432e-002	24.64
13	8.1662e-002	0.1797	7.2162e-003	24.514
14	9.1016e-002	0.17864	8.8213e-003	24.55
15	7.4598e-002	0.17835	1.084e-002	24.57
16	7.0712e-002	0.18144	0.	24.4
17	7.8657e-002	0.18111	0.	24.4
18	6.8611e-002	0.18117	0.	24.4
19	5.9471e-002	0.18214	0.	24.4
20	6.5769e-002	0.1793	4.496e-003	24.454
21	5.9353e-002	0.18011	3.3791e-003	24.43
22	5.7146e-002	0.18219	0.	24.4
23	5.2052e-002	0.18273	0.	24.4
24	5.074e-002	0.18144	2.6047e-003	24.424
29	1.5501e-002	0.14636	3.8345e-002	24.751
33	1.7057e-002	0.14793	3.7358e-002	24.752
34	1.8365e-002	0.14925	3.6515e-002	24.751
35	2.054e-002	0.15144	3.4991e-002	24.749
36	2.16e-002	0.15251	3.4168e-002	24.746
37	2.3638e-002	0.15457	3.2633e-002	24.74
38	2.5915e-002	0.15686	3.0878e-002	24.73
39	2.6999e-002	0.15796	3.0052e-002	24.725
40	2.797e-002	0.15894	2.9267e-002	24.719
41	2.8904e-002	0.15988	2.8478e-002	24.713
42	3.0972e-002	0.16196	2.6668e-002	24.698
43	3.1459e-002	0.16246	2.6236e-002	24.694
44	3.1949e-002	0.16295	2.5794e-002	24.69
45	3.3437e-002	0.16445	2.4345e-002	24.677
46	3.4835e-002	0.16586	2.3052e-002	24.664
50	0.11267	0.17551	9.2279e-003	24.564
51	0.11615	0.17278	1.6538e-002	24.69
52	0.12026	0.16955	2.2135e-002	24.793
57	0.12375	0.16673	2.6101e-002	24.859
58	0.13134	0.16058	2.9814e-002	24.928
59	0.13216	0.15992	3.0192e-002	24.932
60	0.13865	0.15467	3.0368e-002	24.942
61	0.14166	0.15224	3.0747e-002	24.94
68	1.42e-002	0.10809	5.0331e-002	25.
73	1.4302e-002	0.11109	4.9859e-002	24.988
74	1.4423e-002	0.11465	4.9307e-002	24.971
75	1.4487e-002	0.11653	4.8966e-002	24.962
76	1.4561e-002	0.11872	4.8489e-002	24.95
77	1.473e-002	0.12367	4.7304e-002	24.917
78	1.4792e-002	0.12551	4.683e-002	24.904
79	1.4849e-002	0.12718	4.6352e-002	24.892
80	1.4939e-002	0.12982	4.5523e-002	24.872
81	1.5036e-002	0.13269	4.4515e-002	24.85
82	1.521e-002	0.1378	4.2554e-002	24.809
83	1.5223e-002	0.13818	4.2404e-002	24.806
84	1.5418e-002	0.14392	3.9669e-002	24.763
85	1.5423e-002	0.14406	3.9602e-002	24.762
87	3.6304e-002	0.1673	2.157e-002	24.648
88	3.7808e-002	0.16877	2.0047e-002	24.63
89	3.9243e-002	0.17018	1.8443e-002	24.613
90	4.1915e-002	0.1728	1.5421e-002	24.577
91	4.3993e-002	0.17483	1.2775e-002	24.544
92	4.4505e-002	0.17533	1.2156e-002	24.535
93	4.4754e-002	0.17558	1.1882e-002	24.531
94	4.5015e-002	0.17583	1.1461e-002	24.527
95	4.6877e-002	0.17766	8.8462e-003	24.494
96	4.743e-002	0.1782	7.9166e-003	24.484
97	4.9624e-002	0.18035	4.3621e-003	24.443
98	5.0211e-002	0.18092	3.4728e-003	24.433
102	0.14576	0.14731	3.0683e-002	24.951
103	0.15067	0.14142	3.1896e-002	24.953
104	0.15304	0.13859	3.1355e-002	24.943
105	0.15757	0.13314	3.1045e-002	24.924
106	0.16103	0.129	3.085e-002	24.903
114	0.16182	0.12565	3.2258e-002	24.918
115	0.1634	0.11891	3.3744e-002	24.943
116	0.16607	0.10758	3.5723e-002	24.96
117	0.16676	0.10465	3.6477e-002	24.955
118	0.1676	0.10107	3.7079e-002	24.946
119	0.16987	9.1423e-002	3.83e-002	24.913
120	0.17073	8.7798e-002	3.833e-002	24.896
121	0.17318	7.7378e-002	3.928e-002	24.842
131	0.16823	6.45e-002	4.2576e-002	24.863
132	0.1707	7.0939e-002	4.0928e-002	24.859
133	0.16666	6.0433e-002	4.3256e-002	24.863
134	0.16484	5.5711e-002	4.3664e-002	24.86
135	0.16222	4.8879e-002	4.4544e-002	24.84
136	0.1609	4.5469e-002	4.481e-002	24.828
137	0.15814	3.8285e-002	4.4975e-002	24.798
138	0.15579	3.2182e-002	4.5039e-002	24.768
139	0.15486	2.9753e-002	4.496e-002	24.756
140	0.15347	2.6135e-002	4.4881e-002	24.738
141	0.15013	1.7472e-002	4.461e-002	24.699
142	0.14887	1.42e-002	4.4554e-002	24.685
153	0.14485	1.5102e-002	4.5574e-002	24.703
154	0.14327	1.5456e-002	4.5948e-002	24.712
155	0.13314	1.7724e-002	4.8126e-002	24.789
156	0.12639	1.9237e-002	4.9132e-002	24.856
157	0.1235	1.9885e-002	4.9515e-002	24.886
158	0.1163	2.1497e-002	4.9938e-002	24.975
159	0.10626	2.3746e-002	5.0304e-002	25.114
160	0.10178	2.475e-002	5.0344e-002	25.176
161	9.517e-002	2.6231e-002	5.0169e-002	25.267
162	9.3888e-002	2.6518e-002	5.0199e-002	25.283
163	9.3361e-002	2.6636e-002	5.0215e-002	25.289
164	9.2136e-002	2.691e-002	5.0179e-002	25.305
165	8.689e-002	2.8086e-002	5.0337e-002	25.352
166	8.4013e-002	2.873e-002	5.0219e-002	25.376
167	8.0247e-002	2.9574e-002	5.0334e-002	25.395
168	7.6536e-002	3.0405e-002	5.0323e-002	25.407
175	7.4912e-002	3.1432e-002	5.0661e-002	25.416
176	7.0212e-002	3.4407e-002	5.0132e-002	25.502
177	6.88e-002	3.5301e-002	5.0137e-002	25.523
178	6.7017e-002	3.6428e-002	5.0137e-002	25.545
179	6.2617e-002	3.9213e-002	5.0128e-002	25.586
187	5.7676e-002	4.236e-002	5.0026e-002	25.612
